DATE,SP500,DGS10,UNRATE,CPIAUCSL,DCOILWTICO,NASDAQCOM
2018-01-01,2695.81,2.46,4.0,248.859,60.37,7006.9
2018-01-02,2695.81,2.46,4.0,248.859,60.37,7006.9
2018-01-03,2713.06,2.44,4.0,248.859,61.61,7065.53
2018-01-04,2723.99,2.46,4.0,248.859,61.98,7077.91
2018-01-05,2743.15,2.47,4.0,248.859,61.49,7136.56
2018-01-08,2747.71,2.49,4.0,248.859,61.73,7157.39
2018-01-09,2751.29,2.55,4.0,248.859,62.92,7163.58
2018-01-10,2748.23,2.55,4.0,248.859,63.6,7153.57
2018-01-11,2767.56,2.54,4.0,248.859,63.81,7211.78
2018-01-12,2786.24,2.55,4.0,248.859,64.22,7261.06
2018-01-15,2786.24,2.55,4.0,248.859,64.22,7261.06
2018-01-16,2776.42,2.54,4.0,248.859,63.82,7223.69
2018-01-17,2802.56,2.57,4.0,248.859,63.92,7298.28
2018-01-18,2798.03,2.62,4.0,248.859,63.96,7296.05
2018-01-19,2810.3,2.64,4.0,248.859,63.38,7336.38
2018-01-22,2832.97,2.66,4.0,248.859,63.66,7408.03
2018-01-23,2839.13,2.63,4.0,248.859,64.45,7460.29
2018-01-24,2837.54,2.65,4.0,248.859,65.69,7415.06
2018-01-25,2839.25,2.63,4.0,248.859,65.62,7411.16
2018-01-26,2872.87,2.66,4.0,248.859,66.27,7505.77
2018-01-29,2853.53,2.7,4.0,248.859,65.71,7466.51
2018-01-30,2822.43,2.73,4.0,248.859,64.64,7402.48
2018-01-31,2823.81,2.72,4.0,248.859,64.82,7411.48
2018-02-01,2821.98,2.78,4.1,249.529,65.92,7385.86
2018-02-02,2762.13,2.84,4.1,249.529,65.5,7240.95
2018-02-05,2648.94,2.77,4.1,249.529,64.18,6967.53
2018-02-06,2695.14,2.79,4.1,249.529,63.48,7115.88
2018-02-07,2681.66,2.84,4.1,249.529,61.91,7051.98
2018-02-08,2581.0,2.85,4.1,249.529,61.3,6777.16
2018-02-09,2619.55,2.83,4.1,249.529,59.2,6874.49
2018-02-12,2656.0,2.86,4.1,249.529,59.41,6981.96
2018-02-13,2662.94,2.83,4.1,249.529,59.33,7013.51
2018-02-14,2698.63,2.91,4.1,249.529,60.7,7143.62
2018-02-15,2731.2,2.9,4.1,249.529,61.48,7256.43
2018-02-16,2732.22,2.87,4.1,249.529,61.89,7239.47
2018-02-19,2732.22,2.87,4.1,249.529,61.89,7239.47
2018-02-20,2716.26,2.88,4.1,249.529,61.91,7234.31
2018-02-21,2701.33,2.94,4.1,249.529,61.73,7218.23
2018-02-22,2703.96,2.92,4.1,249.529,62.72,7210.09
2018-02-23,2747.3,2.88,4.1,249.529,63.52,7337.39
2018-02-26,2779.6,2.86,4.1,249.529,63.81,7421.46
2018-02-27,2744.28,2.9,4.1,249.529,62.94,7330.35
2018-02-28,2713.83,2.87,4.1,249.529,61.43,7273.01
2018-03-01,2677.67,2.81,4.0,249.577,60.98,7180.56
2018-03-02,2691.25,2.86,4.0,249.577,61.19,7257.87
2018-03-05,2720.94,2.88,4.0,249.577,62.49,7330.7
2018-03-06,2728.12,2.88,4.0,249.577,62.54,7372.01
2018-03-07,2726.8,2.89,4.0,249.577,61.09,7396.65
2018-03-08,2738.97,2.86,4.0,249.577,60.13,7427.95
2018-03-09,2786.57,2.9,4.0,249.577,62.02,7560.81
2018-03-12,2783.02,2.87,4.0,249.577,61.35,7588.32
2018-03-13,2765.31,2.84,4.0,249.577,60.69,7511.01
2018-03-14,2749.48,2.81,4.0,249.577,60.89,7496.81
2018-03-15,2747.33,2.82,4.0,249.577,61.16,7481.74
2018-03-16,2752.01,2.85,4.0,249.577,62.29,7481.99
2018-03-19,2712.92,2.85,4.0,249.577,62.01,7344.24
2018-03-20,2716.94,2.89,4.0,249.577,63.37,7364.3
2018-03-21,2711.93,2.89,4.0,249.577,65.1,7345.29
2018-03-22,2643.69,2.83,4.0,249.577,64.25,7166.68
2018-03-23,2588.26,2.82,4.0,249.577,65.8,6992.67
2018-03-26,2658.55,2.85,4.0,249.577,65.49,7220.54
2018-03-27,2612.62,2.78,4.0,249.577,65.21,7008.81
2018-03-28,2605.0,2.77,4.0,249.577,64.3,6949.23
2018-03-29,2640.87,2.74,4.0,249.577,64.87,7063.44
2018-03-30,2640.87,2.74,4.0,249.577,64.87,7063.44
2018-04-01,2640.87,2.74,4.0,250.227,64.87,7063.44
2018-04-02,2581.88,2.73,4.0,250.227,63.05,6870.12
2018-04-03,2614.45,2.79,4.0,250.227,63.41,6941.28
2018-04-04,2644.69,2.79,4.0,250.227,63.35,7042.11
2018-04-05,2662.84,2.83,4.0,250.227,63.53,7076.55
2018-04-06,2604.47,2.77,4.0,250.227,62.03,6915.11
2018-04-09,2613.16,2.78,4.0,250.227,63.4,6950.34
2018-04-10,2656.87,2.8,4.0,250.227,65.48,7094.3
2018-04-11,2642.19,2.79,4.0,250.227,66.81,7069.03
2018-04-12,2663.99,2.83,4.0,250.227,67.07,7140.25
2018-04-13,2656.3,2.82,4.0,250.227,67.35,7106.65
